Gene_Name,Hits
ABCA6,47
C12orf73,0
CDC14B,118
COQ5,13
DENR,30
DYNLRB1,19
E2F1,5925
ENOPH1,11
ESPL1,112
ESRP1,322
FAT4,153
FKBP4,127
FTSJ2,14
G6PC3,37
GATC,212
H2AFZ,84
H6PD,59
HGF,6356
HSP90AB1,299
IFFO1,5
MAGI2-AS3,17
NECAB3,7
NFS1,40
ORMDL2,10
PGAM5,89
PIGU,24
PRR15L,10
PSMC3IP,28
PTGES3,50
RACGAP1,221
RBMS3,55
RCBTB2,19
RFC5,111
RGL1,47
SLC25A39,11
SRSF9,59
TIMELESS,263
TIMM17B,12
TMEM106C,6
TUBG1,81
UTRN,76
VPS25,36
VPS33A,10
ZFP36L2,65
